,interpreter,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01
10,ATB feat. Topic & A7S,21,19,20,19,17,20,19,18,17,16,15,15,15,6,1,3,3,2,3,1,5,8,9,7,9,11,7,8,9,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,12,8,8,6,9,9
11,Leony,21,20,19,17,18,18,19,19,16,19,20,20,17,21,18,16,3,1,1,2,6,8,9,8,9,7,6,8,5,7,9,8,10,3,7,10,10,9,9,9,9,12,10,23,23,29,23,25,24,25,23,26
12,Lisa Pac,20,14,13,10,9,6,7,5,7,2,3,6,5,8,8,8,9,4,9,9,8,11,7,9,6,8,6,7,7,7,7,7,6,2,9,7,6,9,4,3,2,4,4,3,4,3,3,6,3,2,3,8
13,Tom Gregory,20,22,23,18,25,17,16,16,16,18,15,16,19,14,13,16,15,14,12,20,22,17,16,23,20,24,18,22,21,22,23,21,20,10,18,22,26,30,31,31,37,35,35,26,25,34,38,32,32,33,40,37
14,Onk Lou,19,17,13,16,19,17,21,7,7,6,4,5,4,5,5,2,5,5,5,4,8,8,7,6,6,9,5,10,6,7,10,6,9,2,7,7,13,8,4,4,1,2,3,3,3,4,4,2,4,4,3,5
15,Joel Corry feat. Mnek,16,21,20,20,20,17,19,4,1,2,1,2,0,0,0,7,8,10,9,9,10,11,12,8,11,9,7,9,9,7,12,11,11,4,8,11,11,7,12,9,11,12,9,2,1,0,0,1,0,0,1,0
16,Alvaro Soler,16,20,24,23,25,25,28,27,24,31,25,27,24,23,21,27,25,26,24,8,7,2,8,3,5,7,7,2,5,2,3,3,3,3,5,4,5,2,4,6,2,4,4,8,10,5,7,9,11,7,7,8
17,Miley Cyrus,19,20,19,9,7,8,9,5,2,3,4,2,4,3,3,7,5,2,4,4,4,9,1,4,3,7,7,3,3,4,2,5,4,1,5,9,5,6,11,5,5,4,4,4,4,4,5,3,4,8,6,4
18,Chris Steger,16,17,25,22,21,17,11,18,20,16,17,12,10,11,11,14,19,17,15,21,18,20,17,15,6,8,7,10,9,14,11,9,8,9,9,11,14,10,8,7,3,3,4,6,4,4,3,3,4,6,3,3
19,Seiler und Speer,17,14,21,15,20,24,25,21,25,27,26,22,31,31,29,27,24,27,25,25,24,25,20,16,16,16,14,17,15,15,14,11,19,15,16,23,18,19,17,17,22,24,17,17,24,25,31,26,24,23,23,27
20,Josh.,11,16,16,20,19,25,26,14,19,16,18,16,19,20,17,18,15,13,19,24,18,19,14,12,9,12,15,14,18,17,14,9,13,12,13,16,13,10,8,11,14,12,13,10,11,15,12,19,17,15,16,21
