More Than Words;Extreme;0;0;0;1;0;0;0;
Ooh La La;Faces;0;1;0;0;0;0;0;
Der Kommissar;Falco;1;0;0;0;0;1;0;
Junge Römer;Falco;1;0;0;0;1;0;0;
Out of the Dark;Falco;0;1;0;0;0;0;0;
Helden von heute;Falco;0;0;1;0;0;0;0;
Vienna Calling;Falco;0;0;1;0;0;0;0;
Jeanny;Falco;0;0;0;1;0;0;1;
The Sound of Musik;Falco;0;0;0;1;0;0;0;
Vienna Calling (Parov Stelar Remix);Falco;0;0;0;0;0;0;1;
The Rockafeller Skank;Fatboy Slim;0;0;0;0;0;0;1;
Close Your Eyes;Felix Jaehn & VIZE feat. Miss Li;1;0;1;1;1;0;1;
Ain't Nobody (Loves Me Better);Felix Jaehn feat. Jasmine Thompson;0;0;0;1;0;0;0;
Jennie;Felix Jaehn feat. R. City & Bori;0;0;0;0;0;0;1;
All My Friends Are Rich;Filous & Louis III;0;0;0;0;0;1;0;
Emelie;Filous & Mount feat. Buster Moe;0;0;0;1;0;0;0;
Bicycle;Filous feat. Klei;0;0;1;0;0;0;0;
She Drives Me Crazy;Fine Young Cannibals;0;0;0;0;0;1;0;
We Are Alright;Flip Capella;1;0;0;0;0;0;0;
Read My Lips;Flo Fin;0;0;1;0;0;1;1;
Good Feeling;Flo Rida;0;0;0;0;0;0;1;
Club Can't Handle Me;Flo Rida / David Guetta;0;0;2;0;0;0;0;
Right Round;Flo Rida feat. Ke$Ha;0;0;1;0;0;1;0;
Hey Du;Folkshilfe;1;0;0;0;0;0;0;
Seit a poa Tog;Folkshilfe;1;0;0;0;0;0;0;
Mir laungts;Folkshilfe;0;1;0;1;0;0;0;
Simone;Folkshilfe;0;0;1;0;0;0;0;
Immer wieder;Folkshilfe;0;0;0;0;0;1;0;
Lemon Tree;Fool's Garden;0;0;0;1;0;0;1;
Occidentali's Karma;Francesco Gabbani;0;0;0;0;0;0;1;
Castles;Freya Ridings;2;2;1;1;2;0;1;
Some Nights;Fun.;1;0;0;0;0;0;0;
We Are Young;Fun. / Janelle Monáe;0;0;0;1;0;0;0;
Bittersweet Symphony;Gamper & Dadoni feat. Emily Roberts;0;0;0;0;2;0;0;
Land of Confusion;Genesis;1;0;0;0;0;0;0;
Jesus He Knows Me;Genesis;0;1;0;0;0;1;0;
Invisible Touch;Genesis;0;2;0;0;0;0;0;
Jesus He Knows Me (Live);Genesis;0;0;0;0;0;1;0;
Ollas leiwaund;Georg Danzer;0;1;0;0;0;0;0;
Blame It on Me;George Ezra;0;1;0;0;1;1;0;
Paradise;George Ezra;0;1;0;1;0;0;0;
Pretty Shining People;George Ezra;0;0;2;0;1;0;0;
Shotgun;George Ezra;0;0;0;0;0;1;1;
Faith;George Michael;0;0;0;0;1;0;0;
La passion;Gigi D'Agostino;0;1;0;0;1;0;0;
